
Datei           Hash
-----           ----
damage_01.png   4B83C227CE8A64FE3080D4BBE142306F
damage_02.png   EDD0795656A88077E984FF39C978268C
damage_03.png   27E671C7D21DD266DE1B934D17770E35
damage_04.png   88241CF294C75AB00882BC62ECF65022
damage_05.png   71986F0EF9001CB64CA12A2D47745E74
qa_photo_01.jpg C765B78476F5CF1F4DCC4A178FE1CDE9
qa_photo_02.jpg E6D54431D581E544739F5F84C157E225
qa_photo_03.jpg 927071C461F7224DD9E87867C5D4497C
qa_photo_04.jpg A296078A445B85193B84F5228F5F90A4
qa_photo_05.jpg 1806A63BD5641BA942B1252932DB3EB0

